
4	5
4	1
4	7
4	1
4	3
4	19
4	4
4	10
4	18
4	13
4	11
4	4
4	17
4	6
4	27
4	6
4	3
4	55
4	2
4	17
4	9
4	1
4	30
4	5
4	2
4	30
4	13
4	12
4	43
4	24
4	3
4	31
4	2
4	35
4	9
4	16
4	7
4	4
4	1
4	1
4	11
4	3
4	3
4	28
4	38
4	55
4	4
4	26
4	16
4	9
4	45
4	6
4	5
4	3
4	10
4	40
4	13
4	10
4	30
4	15
4	1
4	6
4	12
4	3
4	8
4	12
4	8
4	24
4	20
4	11
4	31
4	6
4	36
4	4
4	55
4	4
4	11
4	25
4	1
4	35
4	38
4	3
4	8
4	2
4	20
4	27
4	44
4	18
4	2
4	3
4	31
4	5
4	21
4	43
4	6
4	1
4	16
4	18
4	8
4	5
8	180
8	259
8	115
8	17
8	39
8	182
8	295
8	67
8	32
8	179
8	468
8	269
8	153
8	86
8	42
8	34
8	53
8	32
8	404
8	374
8	214
8	87
8	152
8	16
8	119
8	46
8	111
8	418
8	41
8	3
8	475
8	251
8	711
8	116
8	185
8	504
8	339
8	61
8	163
8	81
8	146
8	96
8	572
8	456
8	198
8	550
8	375
8	1369
8	268
8	61
8	42
8	418
8	593
8	387
8	215
8	146
8	13
8	200
8	327
8	501
8	664
8	166
8	4
8	488
8	91
8	341
8	529
8	264
8	177
8	493
8	575
8	88
8	662
8	122
8	373
8	183
8	785
8	108
8	167
8	22
8	68
8	24
8	428
8	195
8	133
8	172
8	365
8	399
8	193
8	25
8	215
8	106
8	54
8	1
8	318
8	170
8	219
8	725
8	9
8	46
12	1305
12	84
12	2358
12	4720
12	8591
12	20114
12	1582
12	769
12	2448
12	1868
12	1952
12	4558
12	4101
12	1353
12	10381
12	441
12	2192
12	1713
12	10592
12	1528
12	3398
12	6760
12	881
12	852
12	8484
12	2418
12	6416
12	1106
12	5930
12	1875
12	2397
12	6435
12	1460
12	6433
12	1539
12	1856
12	530
12	855
12	2245
12	4959
12	4537
12	9995
12	2635
12	3780
12	1239
12	6096
12	4642
12	1154
12	182
12	917
12	1744
12	3535
12	9488
12	92
12	1317
12	1479
12	3169
12	8205
12	2506
12	2629
12	5786
12	4751
12	5998
12	1704
12	1392
12	4018
12	3004
12	5086
12	774
12	7824
12	689
12	2678
12	3112
12	4806
12	77
12	8199
12	11645
12	1723
12	3165
12	223
12	856
12	941
12	4479
12	1276
12	2178
12	16873
12	2500
12	2800
12	2906
12	4694
12	9510
12	357
12	8503
12	388
12	90
12	2346
12	6482
12	775
12	2841
12	1349
16	106500
16	104710
16	3139
16	98598
16	16806
16	45084
16	194266
16	8289
16	37259
16	13736
16	193777
16	57032
16	13787
16	25722
16	24548
16	47595
16	45770
16	93547
16	10466
16	98762
16	7676
16	36860
16	384897
16	17537
16	7913
16	7100
16	71855
16	19529
16	34940
16	43443
16	73345
16	7865
16	77898
16	83886
16	5527
16	73099
16	74047
16	21071
16	21076
16	170038
16	40605
16	141488
16	5733
16	70755
16	7610
16	7910
16	6851
16	113100
16	96765
16	57584
16	44821
16	54333
16	130232
16	8732
16	32563
16	35933
16	1375
16	109583
16	45894
16	90871
16	87981
16	74842
16	265814
16	245434
16	38289
16	364315
16	14452
16	172910
16	57280
16	866
16	97976
16	64296
16	132488
16	141156
16	52833
16	40014
16	10937
16	61957
16	2547
16	91118
16	198135
16	143086
16	34838
16	27762
16	119774
16	103234
16	10620
16	33037
16	56541
16	6701
16	4635
16	111073
16	36560
16	75573
16	85762
16	18251
16	66918
16	29761
16	71642
16	55257
20	926138
20	702864
20	462990
20	257838
20	3459163
20	821302
20	283012
20	1741615
20	34629
20	614171
20	26555
20	1628862
20	1452126
20	1761525
20	124018
20	2554533
20	707206
20	4437803
20	299692
20	88539
20	171662
20	285407
20	212387
20	3327941
20	1201562
20	568369
20	242865
20	714177
20	133144
20	344757
20	255741
20	56894
20	11274
20	668790
20	1051107
20	1906624
20	74610
20	1473957
20	57571
20	129451
20	643802
20	471567
20	166371
20	2463591
20	56363
20	285473
20	3478669
20	182751
20	5668372
20	253271
20	221722
20	7353396
20	576576
20	679991
20	1190280
20	2907128
20	201170
20	200599
20	224241
20	1518243
20	1149388
20	289080
20	1873879
20	1343021
20	310503
20	150671
20	1378653
20	384599
20	811908
20	245566
20	72730
20	1237428
20	578217
20	969033
20	2727525
20	439348
20	378349
20	1863372
20	740645
20	5126854
20	708374
20	887339
20	952383
20	301328
20	2042215
20	1238173
20	1982319
20	354509
20	650036
20	308675
20	174013
20	1162144
20	699996
20	56970
20	2400479
20	1278298
20	157072
20	980004
20	2030556
20	331678
24	236144
24	50410620
24	10705227
24	19371693
24	39843524
24	4947256
24	2606205
24	13132260
24	10960222
24	12730597
24	12341929
24	16884485
24	11420139
24	4102708
24	17869995
24	790526
24	27028269
24	10027704
24	2963773
24	37493577
24	7804024
24	814980
24	1132045
24	9382814
24	43929961
24	5858943
24	4407773
24	8694664
24	15706445
24	20360350
24	4248862
24	6692976
24	7750865
24	14640025
24	921074
24	8115037
24	2315241
24	18886162
24	61450288
24	2146268
24	22067339
24	27308525
24	27342037
24	12046353
24	3664839
24	2955730
24	6420304
24	15758914
24	25393065
24	7528431
24	3044495
24	737568
24	29416600
24	2887922
24	21760360
24	7891397
24	706761
24	29873131
24	17151464
24	6979351
24	7254215
24	19437011
24	12987326
24	10190770
24	9075029
24	8153716
24	44661034
24	7799776
24	6342025
24	4563674
24	14462001
24	2924683
24	58994166
24	10601093
24	1202164
24	2323766
24	21842859
24	17335186
24	18830140
24	15291084
24	21021972
24	2814570
24	2326416
24	23584858
24	32713754
24	2632511
24	2815822
24	14211819
